irep,clh,resch,klun,kbra,khrt,kskn,kmus,kadi,kspl,kgio,khep,kkid,kres
38,14.455341012169676,0.6938314268844027,2.955233015116802,0.5586214217418202,2.9021267637976034,0.5946652849846225,1.2396965025468507,0.431682022150107,2.229584582883062,4.382879405304307,2.8612537959625506,6.519124227351067,3.5838537321221633
39,15.157564384569003,0.7130189858103568,4.036935439143794,0.7410338190940349,5.514252549439118,0.6393857899464492,1.0330292382594612,0.28881687975388654,2.13177228735206,3.9336584668003147,3.7963406369236017,9.332082182200315,3.511704427072485
40,13.674854972272387,0.6415603367023243,3.319365181436875,0.8524620473135474,3.9733877303241902,0.6144234812193878,1.1404756241500227,0.39572042159876275,2.529090229475768,2.3626336477435608,3.235792822741296,7.556696051947184,3.437648358791875
41,13.129080400295678,0.6129975450761005,3.2720352480970103,0.8377953718808441,3.40941020146239,0.5950709557386966,0.8723283896079465,0.3104203878142196,1.321360135504499,2.813626336124938,4.219089962720208,6.245144868964575,3.967751029282386
42,13.492290280583488,0.6174304276141227,2.9303198974232973,0.9641561599884801,5.092558233807321,0.900717150625261,0.7582687261337252,0.5501671677613994,2.0126165879574076,3.797572546344357,2.9455497455662982,12.274340505991647,4.094798696682014
43,13.169021754661735,0.7424167197898397,5.9176792801904226,0.4482955732981038,3.841569830270783,0.9082880871711004,0.728048301190562,0.49995603564074426,2.3425288966882682,3.9570532228344586,5.2823372675369855,4.583928080832327,3.9379913589675417
44,14.092112547212116,0.6937879439832513,3.889635876298103,0.7945253931773175,3.3884507060388405,0.7579823515762476,0.947122429505187,0.3162247466634075,2.7210102999902746,2.993619151400994,3.072155721521368,10.018420182385325,3.6872398772765167
45,12.996048058214448,0.6378651984550772,3.762219110837562,0.806580334655089,3.7733150757938354,0.6830930263502577,0.9025501933044078,0.4150134767552968,2.26392032650015,3.564407792855239,3.7563686405856247,7.277431706301467,4.066087923856006
46,14.361410014301555,0.6988623653633056,4.068656742409458,0.7154487354036475,2.6216820989583014,0.7134946391919954,0.9846115449490053,0.5483539402451978,2.1582973650938646,2.688885751051525,3.449192971767482,9.232856590777493,4.019760319641334
47,13.382673734613062,0.6820625938203664,2.4144868281836573,1.0564434402951761,4.494810078791484,0.43648769064879406,0.89863775221024,0.46962901278190644,2.04199747127244,5.477443077346359,4.0086758505236375,9.014641467243695,3.746670378861505
48,13.821703324202433,0.7244472781972662,3.577379188571346,0.6428132881311374,3.2484230351717884,0.42848009727812497,0.822695684989965,0.5447669899637366,1.7303034624602793,4.017069001273378,3.909810207614751,7.173016988651373,4.348391489761099
49,13.548158248502727,0.700218960869124,2.899717522152639,0.6189126146586837,3.1219186937295595,0.866117946100161,0.7933112059227526,0.37374980317657164,1.7481927054755233,3.169067855609058,3.478950563108049,8.268728170593926,3.9132229439742763
50,16.24925608860732,0.7029671825370083,3.9218322231140488,0.9830875417640095,2.6309166871185625,0.7322200099593718,0.9122808812055412,0.32772992083466557,2.1843231816010586,3.4989024497660064,3.409774190430349,12.170923832167956,3.569134091745395
