run,THETA1,THETA2,THETA3,THETA4,THETA5,THETA6,THETA7,THETA8,"OMEGA(1,1)","OMEGA(2,1)","OMEGA(2,2)","OMEGA(3,1)","OMEGA(3,2)","OMEGA(3,3)","SIGMA(1,1)"
112,0.344639,4.1499,1.17169,4.2266,1.271,0.489663,-0.0979721,0.532797,0.142817,0.0807241,0.093858,0.112971,0.0815211,0.114913,0.0380088
113,0.473674,4.12726,1.18155,4.20177,1.29443,0.477996,-0.107908,0.540749,0.332939,0.0825217,0.0942858,0.135131,0.076445,0.111637,0.0389017
114,0.408756,4.12783,1.16296,4.22499,1.2905,0.45768,0.0350725,0.377305,0.140117,0.0443114,0.0851579,0.0889194,0.0664984,0.110813,0.0392309
115,0.338278,4.06186,1.12062,4.21761,1.31895,0.468605,-0.0715826,0.408345,0.302486,0.0917307,0.0984319,0.15212,0.0818603,0.112687,0.0389435
116,0.401052,4.11533,1.1792,4.21766,1.28201,0.487178,-0.00370551,0.279029,0.234418,0.0517879,0.0702281,0.115624,0.0630223,0.120838,0.039859
117,0.446037,4.12437,1.2181,4.25366,1.28368,0.532988,-0.00962852,0.493406,0.141963,0.0510888,0.0797173,0.109004,0.065347,0.120272,0.0404207
118,0.463412,4.11164,1.15868,4.20136,1.2703,0.478885,-0.141539,0.395657,0.166807,0.0368064,0.0736285,0.104986,0.0552257,0.0886498,0.0408808
119,0.465345,4.17155,1.18613,4.20273,1.26861,0.539375,-0.0450218,0.358267,0.18545,0.058249,0.0773603,0.0994628,0.0633481,0.108431,0.0398843
120,0.452065,4.13201,1.19019,4.20264,1.24189,0.520149,-0.0142635,0.371217,0.144877,0.0506931,0.0682112,0.124016,0.0753293,0.138354,0.0420549
121,0.46131,4.12431,1.19482,4.22347,1.28912,0.436009,-0.147983,0.530812,0.202342,0.0766937,0.0855868,0.118584,0.0689472,0.101288,0.0394485
122,0.418043,4.11495,1.18401,4.20302,1.31767,0.444558,-0.0254659,0.388961,0.282802,0.0881797,0.0893557,0.138933,0.0786541,0.11125,0.0395724
123,0.47993,4.1233,1.15797,4.19757,1.25478,0.469926,-0.168333,0.370219,0.231674,0.0641852,0.0673673,0.12097,0.0634076,0.0968514,0.0395287
124,0.340266,4.08518,1.14058,4.20744,1.29016,0.477281,-0.0333805,0.459503,0.204462,0.0462631,0.0770487,0.0848543,0.0624588,0.0934866,0.0398163
125,0.388307,4.1051,1.15051,4.21142,1.29746,0.483177,0.00839539,0.370423,0.273066,0.071007,0.0939713,0.135754,0.0775844,0.114045,0.0396886
126,0.481085,4.11776,1.14325,4.23248,1.26771,0.471651,-0.0828222,0.37978,0.238815,0.0516921,0.0791105,0.125412,0.0676433,0.114094,0.0395612
127,0.422401,4.11317,1.22871,4.23335,1.24898,0.541301,0.110186,0.540368,0.187757,0.0215936,0.0614687,0.0745116,0.0430601,0.0958051,0.0413445
128,0.473829,4.13645,1.18699,4.23845,1.24181,0.532233,-0.0439207,0.529601,0.256578,0.0442717,0.0684751,0.106617,0.0644713,0.101306,0.0410557
129,0.411373,4.13097,1.18167,4.24893,1.23973,0.486865,-0.0601854,0.49975,0.192446,0.0749149,0.0723195,0.110245,0.0705647,0.123159,0.040444
130,0.403059,4.17906,1.20495,4.24102,1.21134,0.50279,0.0300707,0.364802,0.210758,0.0495882,0.0664167,0.0999784,0.0563056,0.110076,0.0389859
131,0.337519,4.08905,1.11664,4.17006,1.38981,0.434563,-0.100989,0.383915,0.168149,0.0768097,0.094391,0.114053,0.0729692,0.106478,0.0377162
132,0.486851,4.10779,1.18441,4.23778,1.30835,0.424252,0.0557607,0.330052,0.253017,0.083782,0.0917697,0.137333,0.0757239,0.103426,0.0390881
